,I pay close attention to my diet and nutrition.,Staying active and exercising is important to me.,I enjoy lazy days with no plans or responsibilities.,I prefer having a structured daily routine.,I like to indulge in non-essential purchases.,"I enjoy treating myself, even if it’s impractical.",I am highly goal-oriented in my studies or career.,I like making long-term plans for my future.,I prioritize work-life balance over professional ambition.,Financial stability is more important to me than chasing passion projects.,"I prefer a small, close-knit group of friends over a large social circle.",I enjoy social media and actively engage with it.,I love planning and hosting gatherings or parties.,"I value deep, meaningful conversations over casual small talk.",I enjoy playful teasing and harmless pranks with my friends.,I like playing games that encourage sharing personal thoughts and feelings.,I often check in on my friends to see how they’re doing.,I’m comfortable with my friends having different opinions and beliefs.,Social activism and making a difference are important to me.,I feel one should choose to buy from local businesses over large corporations.,I believe billionaires should not exist.,I try to live sustainably and minimize my impact on the planet.,I believe everything will eventually be explained by science.,I have strong religious or spiritual beliefs.,"I express what’s bothering me, even if it leads to uncomfortable conversations.",I’m a night owl.,I need friends who respond quickly to messages.,"I’m uncomfortable with excessive physical affection (hugging, etc.).",I love celebrating birthdays and important milestones with friends.,Spontaneous adventures are my favorite way to have fun.,I prefer cozy nights in over going out and socializing.,"I enjoy discussing deep topics like philosophy, science, or psychology.","I like participating in group activities like sports, board games, or trivia.",I enjoy dark humor and sarcasm.,I’d rather blend in than stand out in a group.,I’m always excited to try exotic and unusual foods.,"I enjoy following and discussing pop culture, TV shows, and movies.","I love going to concerts, festivals, or other live events with friends.","I enjoy taking spontaneous trips, even if it means postponing responsibilities.","I find thrill-seeking activities (e.g., skydiving, roller coasters) exciting.",I could spend hours getting lost in a book or creative project.,Watching or playing sports is an important part of my identity.,My profession is a defining part of who I am.,Expressing myself through fashion or style is important to me.,I believe gossiping about others is harmless fun.,I’m comfortable with my friends drinking alcohol.,I’m comfortable with my friends smoking cigarettes.,I’m comfortable with my friends using recreational drugs.
"I prefer a small, close-knit group of friends over a large social circle.",0.07001526036973377,0.1660395302743486,0.06569449819201552,0.0019193376975685087,-0.03470401726231802,0.004727502552858255,0.05979670812187774,0.12541578715769458,0.04718886609258894,0.08559518315737674,1.0,-0.023579227883853908,-0.14724349172934956,0.03593272418485582,0.1687539710992026,0.005101095275945946,0.048634910987343835,-0.013451136619659059,0.15522366821409803,0.016122997847221716,-0.054089322706202224,-0.002664673461446872,0.0839796133686545,0.07656106645075601,-0.11081910253056072,0.03842452183049633,0.19841323274649855,0.2531106956015858,-0.09506103457438497,0.06785585847812449,0.2658389261115887,0.05346810293416675,0.013304059255648199,0.08204694471771058,0.13923957494932365,-0.020345513843422446,0.05462992529781542,-0.10964604687967137,0.004299384806839595,-0.05901220014769982,0.06970656763227003,0.05077774095329252,-0.04183311125732186,-0.0398603957443549,-0.09303696542386951,-0.21169376675591284,-0.1020656404362877,-0.1159697982589061
I enjoy social media and actively engage with it.,0.03750846835148668,-0.07559922408973144,0.11879420507274016,-0.0709782776119507,0.27312061661077025,0.17067913529573608,0.06929906421787424,0.04986827828198159,0.11672167576653117,0.16922880112288374,-0.023579227883853908,1.0,0.2601357037100119,0.032133134811245544,0.04874660651926801,0.08721320976271094,0.24322888146582347,0.22360778660321004,0.33462370658734314,0.19893187137105942,-0.06605918531601301,-0.04265899259871944,0.07807768839416566,-0.11522910106605845,0.06077134509305517,0.17511833168330915,0.24682391999804656,0.06469958690259864,0.2677602096052953,0.06322856477300569,0.03229860630274775,-0.06381432897563867,0.02209072246065186,0.04205252179638443,0.027382338241963993,0.11576892050674736,0.23885651611655878,0.22764525611780645,0.10203641962745248,0.043283439105055714,-0.07486418097039611,0.15377441268143455,-0.09889366530833081,0.13053490429520276,0.2542816378501971,0.09186881729750546,0.01752305719897279,0.11250127437397803
I love planning and hosting gatherings or parties.,0.10071528492145973,0.14932186863726382,-0.09257776802776727,0.19595449784069877,0.36511507451514685,0.0948277707518803,0.22019513041812278,0.19110139677872193,0.22170114844604955,0.11917557257800544,-0.14724349172934956,0.2601357037100119,1.0,0.09980853764774768,0.045544055034164574,0.2949442813814979,0.3140928725475203,0.05578106826387972,0.27772433663536855,0.2590086655845173,0.06993387031172463,0.07002248460850327,0.25169660424578993,0.02959488391241677,0.19240316602244723,-0.004013549266461478,0.11250158009531026,-0.1813094850968745,0.4881106222939531,0.15198853010638275,-0.03819328371132914,0.09851150353375256,0.1411984958395626,-0.06038996543518759,0.074594906767001,0.2868861081519624,0.31940928490817355,0.40704077705777714,0.14241885764321227,0.35463011843072284,0.04204332472810985,0.09143940287190745,-0.04298389558207859,0.3614426818016249,0.16101721806924005,0.3218771109323309,0.21572884964544584,0.18273972443530836
"I value deep, meaningful conversations over casual small talk.",0.03420047881005502,-0.12164854001828618,-0.06498822618392586,0.21144097121535554,0.1673382510722486,0.10275673906889479,0.14655697646957178,0.15176665335759726,0.05361635268358662,0.11104567756248736,0.03593272418485582,0.032133134811245544,0.09980853764774768,1.0,-0.13985436604041843,0.21460687880604323,0.1557142604191802,-0.06426222768384221,0.013505144028773682,-0.029074626207255844,-0.040844661192447416,0.10191957760672724,-0.040292281840526724,0.11802472158687934,0.12989355606571804,-0.03632340780477218,0.030925164838259748,-0.04059038373491354,-0.011545993353399415,0.035021462126461005,0.05718308867200992,0.41700988443148806,-0.09885970152967592,0.14875408333406342,-0.11113995745961748,0.18773071054220203,0.23939368400702804,0.11173298242097468,0.10685531046151968,0.06605346248037992,0.06473002515185797,-0.14551636142204127,0.08407325444258014,0.20482758213519148,-0.13995906419199738,0.05763013951683453,0.10983875252622587,0.07049084174440483
I enjoy playful teasing and harmless pranks with my friends.,-0.003226419751088779,0.07318242641104802,0.08225101629551837,-0.06502410406103905,-0.04168561086939351,0.23162589181411564,0.06937318703775222,0.12092156704475097,0.08137781180290644,0.08573911880570649,0.1687539710992026,0.04874660651926801,0.045544055034164574,-0.13985436604041843,1.0,-0.01686935483136797,0.1863949103116939,0.2876744206078735,0.11589533556770593,0.05052609349058134,-0.05160669655678615,0.09188941377298478,0.07621164981390972,0.08273417151418493,-0.05930670452362433,0.14491346264930613,0.16711405291412196,-0.0128032747489722,0.03459159895713333,0.28671359103886557,-0.008559831704537023,0.16752460776116224,0.21790975484367964,0.30469151101843484,0.1547072607559621,0.11302700137705186,0.02635875195013567,0.10411975077417202,0.12436443815208406,0.2755936116256012,-0.041747787660314485,0.21870260781879525,-0.08505364449060947,0.06449795527971748,0.15975862693562815,0.048742321334233035,0.09451628075598077,0.007481245394411874
I like playing games that encourage sharing personal thoughts and feelings.,0.09514535523555764,-0.027402050090115676,-0.05411507923642074,0.21333799457152194,0.1768622888497474,0.0035280590789234624,0.14999376581564236,0.04599703883406045,0.12472060532078887,-0.019281563137685025,0.005101095275945946,0.08721320976271094,0.2949442813814979,0.21460687880604323,-0.01686935483136797,1.0,0.009507726054898004,0.010201091125212064,0.1683207006433447,0.22117859035837248,0.09047143231656243,0.029793140703611755,-0.159777071767091,0.09358360074082202,0.20649847773975918,0.07880235799185557,0.03412261364125512,-0.07487683070084555,0.17951215932490486,0.012420712659441753,-0.1611937504189891,0.09269137103372516,0.017637728426597117,0.07010120278695678,-0.06607568083359794,0.46924835592079905,0.41694513669372973,0.26165752524568753,0.15897586442940037,0.13201850932462222,0.11540998079085121,-0.01488496489761569,0.09832336826614921,0.24290957536801086,0.070843176023904,0.1923452597153087,-0.04434996593906537,0.12237088923874101
I often check in on my friends to see how they’re doing.,0.23721164709247147,0.07563476321023743,0.019214154419404637,0.13562782750580923,0.22790503310578591,0.19411865947588855,0.15332856499875355,0.10752791667943652,0.1507684071900901,0.15320305763034286,0.048634910987343835,0.24322888146582347,0.3140928725475203,0.1557142604191802,0.1863949103116939,0.009507726054898004,1.0,0.13017952045908623,0.22549585282419193,0.2147511626787683,0.06836064939994457,0.04450423201430798,0.11992158897548684,0.09103323655127347,0.1462080532016611,-0.12484320392335678,0.09915642359702717,-0.10246808104605608,0.31024447044413667,0.1756877656986518,-0.04937566530079708,0.04431879776176186,0.04390923096150721,-0.08511842593380299,-0.013977117244103273,0.087026149575452,0.25105864439777104,0.33238747485653847,0.0759911066758415,0.1791870564309487,-0.1314876170897561,0.12992108243117534,-0.008252794826573331,0.20425328718481936,0.007322424738561961,0.1548520427143378,0.26034856043787896,0.1443092922418647
I’m comfortable with my friends having different opinions and beliefs.,0.18789809764911675,0.1176004012513615,0.07090478877044498,-0.0024113877287536703,0.00881596537676539,0.014540485984844037,0.09422031129758245,0.02350525340600112,0.06154472264335821,0.02384113768081786,-0.013451136619659059,0.22360778660321004,0.05578106826387972,-0.06426222768384221,0.2876744206078735,0.010201091125212064,0.13017952045908623,1.0,0.19792891377144003,0.10928644073144186,-0.07556041397667067,0.26459677481067134,0.25814661115486276,-0.08990248681944016,-0.10191417640206897,0.053446476103791024,-0.06021707607714439,0.03436244204380656,0.2414443922348215,0.24117310408249443,-0.021848329366902303,0.13008079543900966,0.3487954459217943,0.013372919720878743,0.26343002812659005,0.13994139090809013,0.2269912791169325,0.17883402395482692,-0.07348438354675792,0.22629971206347274,0.061912758444810354,0.1403671589327946,-0.06415561742152402,0.10708779534464767,-0.04376615381049504,0.15854415301438116,0.03893648406982448,-0.04743278367659415
Social activism and making a difference are important to me.,0.07917373670194451,0.10878410449849424,-0.0003861471414971553,0.12451629348297745,0.11616561732787527,0.11048845986192539,0.13568852913785193,-0.055938055568933234,0.13829296660373633,-0.04870298094615164,0.15522366821409803,0.33462370658734314,0.27772433663536855,0.013505144028773682,0.11589533556770593,0.1683207006433447,0.22549585282419193,0.19792891377144003,1.0,0.23003394158144416,0.023135785963891476,0.2062375967572842,0.16905555736692987,-0.0430567364612364,-0.09998495926011038,0.051018335510703706,0.21196525412160835,-0.02964135900668755,0.19419486045219658,0.2856188056539583,0.028634110365826297,0.09172801183554394,0.14822767225064268,-0.068514475534029,0.029755062710284767,0.19447976991137417,0.3333773588480399,0.20515641599650886,0.06704795491727435,0.25701194441642733,0.052465806272102476,0.11825215937003565,-0.1579858913311856,0.23138569438820272,0.034300243074429526,-0.028121019802627475,0.06125522752836112,0.009194725513021874
I feel one should choose to buy from local businesses over large corporations.,-0.024382920272712088,-0.21836402390473855,0.19455696639661788,0.09860388222654731,0.18646315212264442,-0.041563525469210744,-0.038439262898752234,-0.1088406795258339,0.1329029470331962,0.02128667268596623,0.016122997847221716,0.19893187137105942,0.2590086655845173,-0.029074626207255844,0.05052609349058134,0.22117859035837248,0.2147511626787683,0.10928644073144186,0.23003394158144416,1.0,0.3298253408482468,0.16745321338823874,0.004872392061228718,-0.011042756437251793,0.12524411219781761,0.004715933972792103,-0.051491215717707005,0.11166460522534498,0.16616426888505,-0.06543317647792944,0.19176308167021935,0.04940226203683716,0.1903162374190842,0.03453111870350955,0.07923585639899539,0.253844986146951,0.20397007698061675,0.13450672047726187,-0.032132536643873236,-0.016410593739856708,-0.03514870181636785,0.00640095164323005,-0.14596955646605797,0.173121662751361,0.2205427256879753,0.19642806501893492,0.10634013854266426,0.16602951042373745
