,I pay close attention to my diet and nutrition.,Staying active and exercising is important to me.,I enjoy lazy days with no plans or responsibilities.,I prefer having a structured daily routine.,I like to indulge in non-essential purchases.,"I enjoy treating myself, even if it’s impractical.",I am highly goal-oriented in my studies or career.,I like making long-term plans for my future.,I prioritize work-life balance over professional ambition.,Financial stability is more important to me than chasing passion projects.,"I prefer a small, close-knit group of friends over a large social circle.",I enjoy social media and actively engage with it.,I love planning and hosting gatherings or parties.,"I value deep, meaningful conversations over casual small talk.",I enjoy playful teasing and harmless pranks with my friends.,I like playing games that encourage sharing personal thoughts and feelings.,I often check in on my friends to see how they’re doing.,I’m comfortable with my friends having different opinions and beliefs.,Social activism and making a difference are important to me.,I feel one should choose to buy from local businesses over large corporations.,I believe billionaires should not exist.,I try to live sustainably and minimize my impact on the planet.,I believe everything will eventually be explained by science.,I have strong religious or spiritual beliefs.,"I express what’s bothering me, even if it leads to uncomfortable conversations.",I’m a night owl.,I need friends who respond quickly to messages.,"I’m uncomfortable with excessive physical affection (hugging, etc.).",I love celebrating birthdays and important milestones with friends.,Spontaneous adventures are my favorite way to have fun.,I prefer cozy nights in over going out and socializing.,"I enjoy discussing deep topics like philosophy, science, or psychology.","I like participating in group activities like sports, board games, or trivia.",I enjoy dark humor and sarcasm.,I’d rather blend in than stand out in a group.,I’m always excited to try exotic and unusual foods.,"I enjoy following and discussing pop culture, TV shows, and movies.","I love going to concerts, festivals, or other live events with friends.","I enjoy taking spontaneous trips, even if it means postponing responsibilities.","I find thrill-seeking activities (e.g., skydiving, roller coasters) exciting.",I could spend hours getting lost in a book or creative project.,Watching or playing sports is an important part of my identity.,My profession is a defining part of who I am.,Expressing myself through fashion or style is important to me.,I believe gossiping about others is harmless fun.,I’m comfortable with my friends drinking alcohol.,I’m comfortable with my friends smoking cigarettes.,I’m comfortable with my friends using recreational drugs.
"I prefer a small, close-knit group of friends over a large social circle.",0.02037904083358238,0.11292120492449667,0.07707657633783438,-0.009401027368881246,-0.03438587359849008,0.026541270053750895,0.055174711445068345,0.14322212645944987,0.08393596879185104,0.07657108134401037,1.0,-0.02538318784817945,-0.12401862925533355,0.11814260455971681,0.25790232515262895,0.01984898731182517,0.08874398634014775,0.10334125674148356,0.14947606465462684,-0.007616864494200683,-0.08731101300409905,-0.007464708184158346,0.032943372206144,0.03222212440592883,-0.06223958217824644,0.033648807757716524,0.1251508462640313,0.14918255495987498,-0.01279256268975269,0.11173105020687518,0.23236917104071492,0.16444166889182057,0.09479746853323366,0.16164932199915308,0.15127179506687108,-0.022731466902349836,0.023689303289071376,-0.021269066606428178,-0.02351294901040317,0.05867281211576432,0.17376185309199565,0.038109816714619896,-0.03073193224254614,-0.025330914384194485,-0.06425560906461196,-0.147566004840522,-0.015009827810231252,-0.13610042533483893
I enjoy social media and actively engage with it.,0.02890498738337235,-0.05834214967665129,0.062022264179285365,-0.05150625274667024,0.2134744835997796,0.1235639804787592,0.07985417620508345,0.04496543948447459,0.08893153832537305,0.11235295022711285,-0.02538318784817945,1.0,0.21925781108412074,-0.007394931664155593,-0.012556443083348754,0.07925677087389148,0.17350021384884054,0.17214623106398133,0.2463461461226329,0.14156653132672278,-0.05010604962291388,-0.043007362092337846,0.03447192791059144,-0.07852835673062912,0.031693448591100855,0.12304617260520939,0.1848699393328321,0.05995688885490272,0.2257962813991945,0.0275851809603337,-0.007332898364738251,-0.028637876440133367,0.018217134524689104,-0.016665419198477388,0.02819159807776863,0.10822856557620417,0.1947493311807571,0.16546924618702766,0.08555880653066356,0.024442647025971615,-0.03015707511378142,0.1005403272488198,-0.08839261756359501,0.10663600186615944,0.1851359557931952,0.07736408561393418,0.006565922885683228,0.09958917762488652
I love planning and hosting gatherings or parties.,0.08062779265190341,0.12303575354055515,-0.1195875088845236,0.14782526736863366,0.2723696852689013,0.05392401277106772,0.16618407559188245,0.13496893520393471,0.15973819036777195,0.09193024968526092,-0.12401862925533355,0.21925781108412074,1.0,0.04004255959415199,0.014615972198355181,0.21970819609779182,0.23454584455695085,0.048746113657165045,0.20650865467427215,0.1826737884362752,0.04562844274211466,0.04531661611753515,0.19444932394159903,0.031917098357156025,0.13509129045990234,-0.03242392327570716,0.08172841316852883,-0.14859028106784106,0.4029171617613549,0.08928467566341049,-0.06405188352786567,0.05640031162950654,0.08848838331624054,-0.05872055159864773,0.07451394242231485,0.22912263950801076,0.24424337507321578,0.31851893149216237,0.12599097522922845,0.25671257461700414,-0.0284943379533843,0.07834314807881657,-0.039922763305701124,0.28206365970211505,0.1307753120139599,0.23905104086458204,0.1513323480838668,0.13685298577392763
"I value deep, meaningful conversations over casual small talk.",-0.006375890620465933,-0.0790256271818183,-0.03830927698968438,0.14292242283498272,0.12124287824988232,0.1305412465363919,0.12020500590908773,0.15430538167189023,0.0459663604310563,0.07367991632095126,0.11814260455971681,-0.007394931664155593,0.04004255959415199,1.0,-0.09320735038428006,0.1490063098451542,0.15653108304096156,-0.003545161456512081,0.044755341260864216,-0.029534304506094875,-0.06015384013505123,0.0928910740122213,0.0021918510576026695,0.08920710103130358,0.10580652366070864,-0.017037247666396433,0.034120239726915795,-0.04115566524055072,-0.02271068262764011,0.06519233919980516,0.0814291980840877,0.42197716419070125,-0.11292003799061208,0.11609806005748254,-0.11495087862681072,0.13048199142738362,0.15177998966087877,0.05415303610738824,0.06260347281316665,0.04586952868173826,0.11333785311551714,-0.08148425426699404,0.07426724309744506,0.1197512678448902,-0.10156601334857955,0.011012391093260203,0.0982978273261858,0.0057388725059234185
I enjoy playful teasing and harmless pranks with my friends.,-0.06845054489764116,0.03418835356958668,0.10394726537291403,-0.045071810974572066,-0.04900823679864005,0.17176635578003158,0.07911001332120866,0.16543318809098298,0.07961485325848479,0.07375632163043758,0.25790232515262895,-0.012556443083348754,0.014615972198355181,-0.09320735038428006,1.0,0.03530018802082117,0.1185714590722417,0.25388504902945075,0.060432691123930744,0.061611632647186894,-0.06859506911831952,0.05938830176554494,0.07342483254445809,-0.0064893724029494995,0.00032915231543856,0.13850852287352053,0.1141735841827211,-0.014318362561618492,0.0458086760752225,0.1959033648765094,0.054324482897461945,0.1142713838803107,0.20928545745034846,0.2908065121382602,0.11678456793382976,0.08413528862692338,-0.0009947061689948894,0.12327147475447837,0.037352891994175096,0.21410168746081273,0.05356854893038746,0.1598716302097641,-0.02211851546035534,0.001992446562865308,0.10116160344259262,0.062416522737222625,0.054219678483630615,-0.060005533967366624
I like playing games that encourage sharing personal thoughts and feelings.,0.04836280043742018,-0.051253102470729416,-0.049309717837628136,0.157130446346784,0.14374640062597752,0.007810111150940437,0.11375939845604634,0.05349081521256016,0.10963545740695828,0.019280016319032003,0.01984898731182517,0.07925677087389148,0.21970819609779182,0.1490063098451542,0.03530018802082117,1.0,0.016329885159124195,0.017756862363364326,0.12896287300622974,0.1682795715455302,0.057010751957305816,0.02003825004034394,-0.1416523513026401,0.04383864375217933,0.16517724029670847,0.05184533060845449,0.036057551541468724,-0.05986173423398749,0.1464233671995905,0.02387982821989293,-0.1239733475729234,0.09848502522768258,0.011427998527809569,0.046457323109914704,-0.04016461557351724,0.3460995784678028,0.3045699390406657,0.20294987779217694,0.12275604408585844,0.09970259306148765,0.11418467065200293,0.0030418413531701927,0.07290410200020207,0.19649263549007528,0.06573220762176092,0.116918943611922,-0.015349469112203503,0.08841974381767694
I often check in on my friends to see how they’re doing.,0.17625272712238793,0.050758059467748695,0.03241596974642225,0.0862073609727497,0.16971371852967887,0.14932964616571748,0.10226651967833886,0.10768412096080146,0.12803451406991118,0.14059516464866648,0.08874398634014775,0.17350021384884054,0.23454584455695085,0.15653108304096156,0.1185714590722417,0.016329885159124195,1.0,0.09436946376757122,0.18321065559939206,0.16464768476833969,0.039354809972662566,0.05747899925851936,0.08815348996277943,0.0922613857955467,0.1113318460736604,-0.07331067928353012,0.08178571919692686,-0.0888745279399522,0.2397939834792527,0.13532840275969377,0.0008212592734366166,0.10482947989559581,0.012837363640843525,-0.06419915376665264,0.0022349862664526876,0.06609632850987583,0.18407266453945847,0.26124176815250416,0.04934879674190364,0.1638713132735747,-0.07624264315223597,0.09552287053499271,-0.015333724381988817,0.1472893500460471,0.00047972052638131944,0.10818781062823007,0.21662649216708357,0.10984034573972087
I’m comfortable with my friends having different opinions and beliefs.,0.0996650517467084,0.07064245067217906,0.07718185461175808,-0.014083764848154297,-0.017774940860670944,0.03232784036484206,0.06936868226914922,0.06188737861703521,0.09295468249830043,0.06547657557467958,0.10334125674148356,0.17214623106398133,0.048746113657165045,-0.003545161456512081,0.25388504902945075,0.017756862363364326,0.09436946376757122,1.0,0.1453365793145215,0.07285441928275738,-0.08990736495381628,0.1847975721010954,0.1807759438745652,-0.06714898332663088,-0.0237329858950904,0.0511958315808605,-0.011410209489034342,0.022994868493628046,0.15031008641649418,0.1957524693212744,0.027326550362910255,0.09838398974616464,0.23889248102219363,0.06526054118353485,0.16670735799578626,0.13865565022675627,0.1759369137246647,0.1311001603438132,-0.05531252528414445,0.17418053756184104,0.08638116389519608,0.13106869967718227,-0.05911116191695769,0.046707037648182854,-0.018405055710040738,0.15769321340580827,0.07431716467825951,-0.035243363082264154
Social activism and making a difference are important to me.,0.05553901211212319,0.058299779058373725,0.015169146807541584,0.09297269917584343,0.08096840017502355,0.09978352101959852,0.10468768282332949,-0.028521164069337863,0.10538165380424512,-0.037206371409434856,0.14947606465462684,0.2463461461226329,0.20650865467427215,0.044755341260864216,0.060432691123930744,0.12896287300622974,0.18321065559939206,0.1453365793145215,1.0,0.1834170494200169,-0.008664286962059724,0.1581442829015121,0.11113799735663084,-0.05532337510933448,-0.07420666760662316,0.020905029857536235,0.1600338150743912,-0.0061216513906739945,0.15457355360339597,0.21583150562583203,0.014082479041601132,0.08919450109385782,0.1116190583266998,-0.05024062199453787,0.023077311141550066,0.15705869624914154,0.2178378914361915,0.14309888121288303,0.05063089314397681,0.196496913783395,0.05729698071099344,0.06880470531305226,-0.11730646722248399,0.16676038289804337,0.040970432662526986,-0.028478200673416006,0.03669139961871182,-0.0031428806048353756
I feel one should choose to buy from local businesses over large corporations.,-0.03586001629730644,-0.1681657648948925,0.17870217324625745,0.07113869068591286,0.12774637968019253,-0.01989883142768195,-0.046597086261322,-0.09562790648414318,0.10730595725368107,0.0017935823420992215,-0.007616864494200683,0.14156653132672278,0.1826737884362752,-0.029534304506094875,0.061611632647186894,0.1682795715455302,0.16464768476833969,0.07285441928275738,0.1834170494200169,1.0,0.2750769868730488,0.12482202328733326,-0.009620123471259462,-0.015873701043771917,0.09098978322648016,0.005272424415399816,-0.05168971092558704,0.08582535073309841,0.12819868922032632,-0.03551428213550803,0.09439805009332639,0.04517159650924554,0.10047274545349283,-0.014835232376065741,0.0592239801701925,0.16228573389240294,0.15102329577582624,0.10130349494824167,-0.02687174433687236,-0.02480838015786011,-0.029632453294300524,-0.009174398355250768,-0.11075986010163517,0.13050934550952467,0.18898845719184498,0.14210863590144537,0.08949856256241726,0.16094797689332024
